energy_production,nbr_on,nbr_off,reserve_up_on,reserve_up_off,reserve down,Fonction_objectif
159.0,3.0,0.0,54.0,0.0,69.0,3721045.0
167.0,3.0,0.0,62.0,0.0,77.0,3721045.0
152.00000000000006,3.0,0.0,47.0,0.0,62.0,3721045.0
148.00000000000003,3.0,0.0,43.0,0.0,58.0,3721045.0
158.00000000000003,3.0,0.0,53.0,0.0,68.0,3721045.0
112.0,2.0,0.0,37.0,0.0,52.0,3721045.0
149.0,3.0,0.0,44.0,0.0,59.0,3721045.0
162.0,3.0,0.0,57.0,0.0,72.0,3721045.0
206.00000000000003,4.0,0.0,71.0,0.0,86.0,3721045.0
261.99999999999994,5.0,0.0,97.0,0.0,112.0,3721045.0
236.0,4.0,0.0,91.0,0.0,106.0,3721045.0
326.0,5.0,0.0,118.0,0.0,133.0,3721045.0
401.0,6.0,0.0,140.0,0.0,155.0,3721045.0
423.0,6.0,0.0,147.0,0.0,162.0,3721045.0
519.0,7.0,0.0,176.0,0.0,189.0,3721045.0
441.0,7.0,0.0,152.0,0.0,167.0,3721045.0
343.0,6.0,0.0,123.0,0.0,138.0,3721045.0
225.0,4.0,0.0,88.0,0.0,103.0,3721045.0
248.0,4.0,0.0,94.0,0.0,108.0,3721045.0
224.0,4.0,0.0,87.0,0.0,102.0,3721045.0
219.0,4.0,0.0,84.0,0.0,99.0,3721045.0
205.00000000000006,4.0,0.0,70.0,0.0,85.0,3721045.0
204.00000000000003,4.0,0.0,69.0,0.0,84.0,3721045.0
206.00000000000003,4.0,0.0,71.0,0.0,86.0,3721045.0
111.0,2.0,0.0,36.0,0.0,51.0,3721045.0
107.0,2.0,0.0,32.0,0.0,47.0,3721045.0
104.0,2.0,0.0,29.0,0.0,44.0,3721045.0
100.00000000000003,2.0,0.0,25.000000000000004,0.0,40.0,3721045.0
98.0,2.0,0.0,23.0,0.0,38.0,3721045.0
97.0,2.0,0.0,22.0,0.0,37.0,3721045.0
99.0,2.0,0.0,24.0,0.0,39.0,3721045.0
100.0,2.0,0.0,25.0,0.0,40.0,3721045.0
117.0,2.0,0.0,38.0,0.0,53.0,3721045.0
159.0,3.0,0.0,44.0,0.0,59.0,3721045.0
181.0,3.0,0.0,47.0,0.0,62.0,3721045.0
227.0,3.0,0.0,54.0,0.0,69.0,3721045.0
297.0,4.0,0.0,65.0,0.0,80.0,3721045.0
374.0,5.0,0.0,76.0,0.0,91.0,3721045.0
434.0,6.0,0.0,85.0,0.0,100.0,3721045.0
393.0,5.0,0.0,79.0,0.0,94.0,3721045.0
269.0,4.0,0.0,60.0,0.0,75.0,3721045.0
158.0,3.0,0.0,44.0,0.0,59.0,3721045.0
146.0,3.0,0.0,41.0,0.0,56.0,3721045.0
198.0,3.0,0.0,50.0,0.0,65.0,3721045.0
147.0,3.0,0.0,42.0,0.0,57.0,3721045.0
165.0,3.0,0.0,45.0,0.0,60.0,3721045.0
148.0,3.0,0.0,42.0,0.0,57.0,3721045.0
109.0,2.0,0.0,34.0,0.0,49.0,3721045.0
147.00000000000003,3.0,0.0,42.0,0.0,57.0,3721045.0
114.0,2.0,0.0,39.0,0.0,54.0,3721045.0
107.0,2.0,0.0,32.0,0.0,47.0,3721045.0
104.0,2.0,0.0,29.0,0.0,44.0,3721045.0
111.0,2.0,0.0,36.0,0.0,51.0,3721045.0
114.00000000000003,2.0,0.0,40.0,0.0,54.0,3721045.0
185.0,3.0,0.0,57.0,0.0,72.0,3721045.0
223.0,3.0,0.0,65.0,0.0,80.0,3721045.0
316.0,4.0,0.0,84.0,0.0,99.0,3721045.0
361.0,5.0,0.0,92.0,0.0,107.0,3721045.0
379.0,5.0,0.0,96.0,0.0,111.0,3721045.0
431.0,6.0,0.0,106.0,0.0,121.0,3721045.0
450.0,6.0,0.0,110.0,0.0,125.0,3721045.0
483.0,6.0,0.0,117.0,0.0,132.0,3721045.0
565.0,7.0,0.0,135.0,0.0,150.0,3721045.0
531.0,7.0,0.0,126.0,0.0,141.0,3721045.0
460.0,6.0,0.0,112.0,0.0,127.0,3721045.0
391.0,5.0,0.0,98.0,0.0,113.0,3721045.0
347.0,5.0,0.0,89.0,0.0,104.0,3721045.0
360.0,5.0,0.0,92.0,0.0,107.0,3721045.0
273.0,4.0,0.0,75.0,0.0,90.0,3721045.0
262.0,4.0,0.0,72.0,0.0,87.0,3721045.0
250.0,4.0,0.0,70.0,0.0,85.0,3721045.0
223.0,3.0,0.0,65.0,0.0,80.0,3721045.0
162.0,2.0,0.0,38.0,0.0,53.0,3721045.0
164.0,2.0,0.0,36.0,0.0,51.0,3721045.0
111.0,2.0,0.0,31.0,0.0,46.0,3721045.0
136.0,2.0,0.0,34.0,0.0,49.0,3721045.0
104.0,2.0,0.0,29.0,0.0,44.0,3721045.0
109.0,2.0,0.0,31.0,0.0,46.0,3721045.0
187.0,3.0,0.0,39.0,0.0,54.0,3721045.0
311.0,4.0,0.0,51.0,0.0,66.0,3721045.0
345.0,4.0,0.0,55.0,0.0,70.0,3721045.0
368.0,5.0,0.0,57.0,0.0,72.0,3721045.0
453.0,6.0,0.0,65.0,0.0,80.0,3721045.0
488.0,6.0,0.0,69.0,0.0,84.0,3721045.0
527.0,6.0,0.0,73.0,0.0,88.0,3721045.0
613.0,7.0,0.0,81.0,0.0,96.0,3721045.0
618.0,7.0,0.0,82.0,0.0,97.0,3721045.0
573.0,7.0,0.0,77.0,0.0,92.0,3721045.0
565.0,7.0,0.0,77.0,0.0,92.0,3721045.0
464.0,6.0,0.0,66.0,0.0,81.0,3721045.0
484.0,6.0,0.0,68.0,0.0,83.0,3721045.0
436.0,5.0,0.0,64.0,0.0,79.0,3721045.0
361.0,5.0,0.0,56.0,0.0,71.0,3721045.0
306.0,4.0,0.0,51.0,0.0,66.0,3721045.0
367.0,5.0,0.0,57.0,0.0,72.0,3721045.0
253.0,3.0,0.0,45.0,0.0,60.0,3721045.0
211.0,3.0,0.0,31.0,0.0,46.0,3721045.0
187.0,3.0,0.0,29.0,0.0,44.0,3721045.0
188.0,3.0,0.0,29.0,0.0,44.0,3721045.0
127.0,2.0,0.0,26.0,0.0,41.0,3721045.0
162.0,2.0,0.0,28.0,0.0,43.0,3721045.0
194.0,3.0,0.0,30.0,0.0,45.0,3721045.0
244.0,3.0,0.0,32.0,0.0,47.0,3721045.0
340.0,4.0,0.0,37.0,0.0,52.0,3721045.0
377.0,5.0,0.0,39.0,0.0,54.0,3721045.0
457.0,5.0,0.0,43.0,0.0,58.0,3721045.0
446.0,5.0,0.0,42.0,0.0,57.0,3721045.0
518.0,6.0,0.0,46.0,0.0,61.0,3721045.0
572.0,7.0,0.0,49.0,0.0,64.0,3721045.0
647.0,7.0,0.0,53.0,0.0,68.0,3721045.0
646.0,7.0,0.0,54.0,0.0,69.0,3721045.0
647.0,7.0,0.0,53.0,0.0,68.0,3721045.0
619.0,7.0,0.0,51.0,0.0,66.0,3721045.0
493.0,6.0,0.0,45.0,0.0,60.0,3721045.0
517.0,6.0,0.0,46.0,0.0,61.0,3721045.0
474.0,6.0,0.0,44.0,0.0,59.0,3721045.0
361.0,4.0,0.0,39.0,0.0,54.0,3721045.0
341.0,4.0,0.0,37.0,0.0,52.0,3721045.0
352.0,4.0,0.0,38.0,0.0,53.0,3721045.0
330.0,4.0,0.0,37.0,0.0,52.0,3721045.0
216.0,4.0,0.0,81.0,0.0,96.0,3721045.0
225.0,4.0,0.0,88.0,0.0,103.0,3721045.0
171.00000000000006,3.0,0.0,67.0,0.0,81.0,3721045.0
209.00000000000009,4.0,0.0,74.0,0.0,89.0,3721045.0
169.0,3.0,0.0,64.0,0.0,79.0,3721045.0
210.00000000000006,4.0,0.0,75.0,0.0,90.0,3721045.0
235.0,4.0,0.0,91.0,0.0,106.0,3721045.0
350.0,6.0,0.0,125.0,0.0,140.0,3721045.0
391.0,6.0,0.0,137.0,0.0,152.0,3721045.0
438.0,6.0,0.0,162.0,0.0,162.0,3721045.0
438.0,6.0,0.0,162.0,0.0,162.0,3721045.0
438.0,6.0,0.0,162.0,0.0,162.0,3721045.0
438.0,6.0,0.0,162.0,0.0,162.0,3721045.0
438.0,6.0,0.0,162.0,0.0,162.0,3721045.0
438.0,6.0,0.0,162.0,0.0,162.0,3721045.0
438.0,6.0,0.0,162.0,0.0,162.0,3721045.0
438.0,6.0,0.0,162.0,0.0,162.0,3721045.0
438.0,6.0,0.0,162.0,0.0,162.0,3721045.0
438.0,6.0,0.0,162.0,0.0,162.0,3721045.0
438.0,6.0,0.0,162.0,0.0,162.0,3721045.0
421.0,6.0,0.0,146.0,0.0,161.0,3721045.0
363.0,6.0,0.0,129.0,0.0,144.0,3721045.0
358.0,6.0,0.0,127.0,0.0,142.0,3721045.0
287.0,5.0,0.0,106.0,0.0,121.0,3721045.0
245.0,3.0,0.0,55.0,0.0,70.0,3721045.0
226.0,3.0,0.0,52.0,0.0,67.0,3721045.0
182.0,3.0,0.0,45.0,0.0,60.0,3721045.0
166.0,3.0,0.0,43.0,0.0,58.0,3721045.0
184.0,3.0,0.0,46.0,0.0,61.0,3721045.0
202.0,3.0,0.0,48.0,0.0,63.0,3721045.0
275.0,4.0,0.0,59.0,0.0,74.0,3721045.0
360.0,5.0,0.0,70.0,0.0,85.0,3721045.0
409.0,5.0,0.0,77.0,0.0,92.0,3721045.0
464.0,6.0,0.0,85.0,0.0,100.0,3721045.0
509.0,6.0,0.0,91.0,0.0,106.0,3721045.0
595.0,7.0,0.0,105.0,0.0,120.0,3721045.0
593.0,7.0,0.0,107.0,0.0,122.0,3721045.0
582.0,7.0,0.0,118.0,0.0,133.0,3721045.0
576.0,7.0,0.0,124.0,0.0,139.0,3721045.0
583.0,7.0,0.0,117.0,0.0,132.0,3721045.0
592.0,7.0,0.0,108.0,0.0,123.0,3721045.0
542.0,7.0,0.0,96.0,0.0,111.0,3721045.0
541.0,7.0,0.0,96.0,0.0,111.0,3721045.0
450.0,6.0,0.0,83.0,0.0,98.0,3721045.0
421.0,5.0,0.0,79.0,0.0,94.0,3721045.0
366.0,5.0,0.0,71.0,0.0,86.0,3721045.0
389.0,5.0,0.0,74.0,0.0,89.0,3721045.0
317.0,4.0,0.0,64.0,0.0,79.0,3721045.0
